Plant line,Date,Time,Digital biomass,Greenness,Plant height,Hue,Leaf angle,Leaf area,Leaf area index,Projected leaf area,Leaf inclination,Light penetration depth,NDVI,NPCI,PSRI
10-07-01 AM,2019_6_26,10-50-21 AM,38722500,0.34637,538.386,104.4,63.68,71923.3,0.45,63101.3,1.11566,263.448,0.64387,0.19754,0.06473
10-07-01 AM,2019_6_27,12-28-26 PM,37459800,0.36525,565.344,103.799,62.002,66260.2,0.414,57553.8,1.13254,231.674,0.65262,0.21101,0.06758
10-07-01 AM,2019_6_28,12-28-08 PM,37186100,0.38708,600.998,103.325,56.694,61873.8,0.387,50970.6,1.19651,250.463,0.65195,0.23625,0.07409
10-07-01 AM,2019_6_29,12-28-12 PM,33420100,0.37015,606.028,104.876,60.621,55146.2,0.345,47214.7,1.14758,191.828,0.65777,0.20264,0.06475
10-07-01 AM,2019_6_30,12-28-15 PM,22005800,0.3592,614.537,105.32,55.504,35808.8,0.224,29057,1.21333,209.61,0.65139,0.2045,0.0552
10-07-01 AM,2019_7_1,12-28-20 PM,18187900,0.37717,607.424,104.364,52.08,29942.6,0.187,23167.3,1.26762,176.094,0.6551,0.24037,0.07379
10-07-01 AM,2019_7_2,12-28-23 PM,22499100,0.38488,552.097,102.167,58.208,40752.1,0.255,33820.5,1.1765,116.661,0.62382,0.25931,0.08817
10-07-01 AM,2019_7_3,11-56-11 AM,19351000,0.37056,583.151,99.8421,54.435,33183.5,0.207,26509.8,1.2293,152.628,0.59367,0.2914,0.09975
10-09-01 AM,2019_6_8,11-43-43 AM,1495510,0.34979,149.165,105.091,64.693,10025.9,0.063,9067.13,1.10615,15.68,0.63204,0.20865,0.07238
10-09-01 AM,2019_6_9,11-43-47 AM,2179690,0.33968,169.896,106.714,53.357,12829.6,0.08,10299,1.24628,26.173,0.63492,0.19342,0.06564
10-09-01 AM,2019_6_10,11-43-51 AM,2569520,0.36655,178.272,103.969,64.027,14413.5,0.09,12954.3,1.11234,22.684,0.65268,0.22959,0.07149
10-09-01 AM,2019_6_11,11-43-55 AM,3090250,0.32973,198.353,106.066,64.603,15579.5,0.097,14073.9,1.10697,31.551,0.64769,0.18553,0.06044
